Column1;Unnamed: 0;Tweets;label
0;0;People will come and go, dan kita harus terbiasa dengan itu.;1
1;1;Menjadi a e s t e t i k hari ini wkwkkw https://t.co/7NH50YKSI9;0
2;2;Fokus improve diri sendiri;1
3;3;"RT @ainurohman: Lolos ke 16 besar

Marcus/Kevin 🇮🇩 vs Koga/Saito 🇯🇵 21-17, 21-15. 

Awal yang sangat2 positif setelah badai.

Seneng rasany…";0
4;4;thx pap nya https://t.co/hXbK41nSdq;1
5;5;WKWKKWWKKW LANGSUNG DITES 😂 terbukti kan ak angkat https://t.co/T8HjrUO16H;0
6;6;kalo kamu telpon kapanpun ak angkat https://t.co/Ma8kxgr25s;0
7;7;Suka males ngangkat telfon dari orang yang gak deket-deket amat gak? Kayak... chat aja lah gak usah telfon plis;0
8;8;"btw aku yang kanan
*incase pada bingung aku yg mana";0
9;9;Ketemu kembaran https://t.co/DEVEjlVaXi;0
10;10;@jehianps Blm;0
11;11;"Berat bgt ga sih perjuangin kampus impian kalo ga ada support system?🥲

Join group Telegram @zeniuseducation biar k… https://t.co/v15QLuJMWZ";0
12;12;KOREA TRIP EPISODE 2: MUKBANG MAKANAN MINIMARKET KOREA! https://t.co/Kem3smFlTQ https://t.co/zZPSGstQ4G;0
13;13;AAAA MASUK TRENDING 5 DI YOUTUBE SEKARANG!! 😆😆 Thank God and Thank you guyss! https://t.co/Mujw6D1Jny Episode 2 har… https://t.co/mNkyhXw4gP;0
14;14;Setelah 4 bulan aku di Indonesia dan Wasedaboys lainnya di Jepang, akhirnya kita bisa reunian dan trip bareng di Ko… https://t.co/bhuiOIJF3x;0
15;15;YANG SEMANGAT DONG WOY;0
16;16;"RT @tokomenantea: MENANTEA DISKON 40% KHUSUS BUAT HARI INI DAN BESOK (11 OKT)🥳

Jadi murah banget nih, 10ribuan doang😜 https://t.co/air6Nbf…";0
17;17;males https://t.co/sf6b1Mj9Wx;0
18;18;Coba share Unstoppable Story kalian dlm bentuk thread yah. Apa yg dilakukan saat menghadapi tantangan! Ceritain jg… https://t.co/yeuDkufMuc;0
19;19;Tiba2 flashback jaman awal2 ke Jepang, banyak bgt tantangannya: ngejar belajar bahasa Jepang, belajar matematika pa… https://t.co/ipG9jheRD5;0
20;20;"Yang taun depan UTBK, jgn galau ya karna soalnya bakal TPS aja🥲

Coba ikut Try Out Tes Skolastik SNBT UTBK… https://t.co/NgkYVD7J0E";0
21;21;@laaaanis wkkwkw tengkiuuu;0
22;22;Kamu yang salah, kok kamu yang marah;0
23;23;Hari ini ke Lotte World Korea, pake seragam sekolah Korea wkwkwk. Seruuu bgt! Tungguin vlog Korea Trip yahh! https://t.co/CmszdIGiSc;0
24;24;@jehianps @samsungID Thx ingfo;0
25;25;RT @kamubukanakuu: PERKARA JAMBU JD PANJANG;0
26;26;RT @barkhohum: konspirasi;0
27;27;RT @yxxxb_07: Masuk akal sih 🤣;0
28;28;Viral seorang anak ditanya √25 = …? Dan anak tersebut menjawab JAMBU. Setelah bbrp lama berpikir dan menganalisa, a… https://t.co/iMNMv2bPNL;0
29;29;Bentar lagi bakal trip ke Korea, gak sabar ketemu ayang Jennie;0
30;30;JANGAN LUPA SEMANGAT DAN BAHAGIA HARI INI;0
31;31;"WWKKWKWKWK terrandom emg @ntsana_ 
""Terima kasih bunda maya"" 😂😭 https://t.co/bbf4oCGcDA";0
32;32;"Ada ayam goreng, ayam bakar, ayam penyet. Tapi yang paling aku suka sih ay am falling in love with you

acikiwir";0
33;33;@shrlaa_a wuiii makasiiiii;0
34;34;@adnitae NGAKAK WKKWKWKW;0
35;35;Sudah tau banyak tugas dan kerjaan tapi masih aja santai dan rebahan. Sadar yok sadar;0
36;36;Akhirnya bisa kumpul lengkap sekeluarga🤗. Happy Sunday!! https://t.co/x8mGEwGxEn;0
37;37;Begitu syulit lupakan mtk apalagi mtk asyik;0
38;38;RT @tokomenantea: Beli Menantea yang no sugar, karena manisnya udah dari kamu🥰 https://t.co/7SCNDFj7sQ;0
39;39;@cursedkidd ngomong apa sih;0
40;40;"Ide ngedate:

Kerjain soal matematika bareng.";0
41;41;Urusan diri sendiri masih banyak, gak usah terlalu sibuk ngurusin urusan orang lain;0
42;42;@cursedkidd Yaudah aku ganti. Kenapa sih kamu tuh sempurna, tapi kok cuma ada sin^2 30 + cos^2 30?;0
43;43;me to jennie blackpink: https://t.co/VXyYnUUh19;0
44;44;Kenapa si kamu tuh sempurna, tapi cuma ada 1? Kalo ada banyak kan aku bisa kebagian wokwokwokwo;0
45;45;udah tau suka sama orang yang salah, eh tetep aja dilanjutin;0
46;46;JANGAN LUPA SEMANGAT;0
47;47;Kemarin pertama kali nonton stand up comedy secara live, diundang sama bang Raditya Dika. Pecah banget parah seru b… https://t.co/yJQeHUaCoR;0
48;48;RT @tokomenantea: Setiap hari Senin-Rabu, akan selalu ada promo spesial buat kalian yang belum dapet 'kepastian'🥰 https://t.co/bnyUhKjYDH;0
49;49;Jerome for Blue Carpet premiere The Rings of Power di Singapore~ https://t.co/WPSiUPwUWi;0
50;50;kembar https://t.co/OBWh52BSUN;0
51;51;Gak harus buru-buru kok. Take your time.;0
52;52;Semangat hari ini!!!! Jangan lupa bahagia!;0
53;53;Jangan biarkan masa lalumu merusak masa depanmu. Lepaskan diri dari belenggu dan bayang2 masa lalu, fokus dengan ma… https://t.co/TvGsBS00Lu;0
54;54;Hari ini aku diingatkan suatu hal: Setiap orang punya kesempatan untuk berubah dan berbenah. Meskipun di masa lalu… https://t.co/gcyG0rQkMp;0
55;55;@jehianps Blm tau.;0
56;56;jangan lupa bucin sama diri sendiri;0
57;57;Melepas panah asmara~ tetoretotettetoretotet https://t.co/TDhQvk6wGC;0
58;58;TES MATEMATIKA ANAK PRESIDEN! FT. KAESANG https://t.co/OFIYq3FvO8 CUSS NONTON! SERU BGT WKWKWKWK!! https://t.co/ZJp3F7prFS;0
59;59;Hari ini jam 18.30 WIB!! TES MATEMATIKA ANAK PRESIDEN JOKOWI (KAESANG)! WKWKW ASLI SERU BANGET 😂 Stay tuned di yout… https://t.co/l0qOUwhKgE;0
60;60;RT @melloncolliesu: bang.. bahasa apa ini???😭;0
61;61;RT @jojobaolip: gue bacanya pingsan;0
62;62;RT @dalgonalfiy: kelakuan lu jeromeee😭 JOSS;0
63;63;RT @flowriferous: lu bingung gaksi;0
64;64;Selamat hari ulang tahun ke-77 Republik Indonesia!! Merdeka!! https://t.co/Vs0OjcXQhC;0
65;65;"2020 reply2an tweet
2022 akhirnya ketemu @kaesangp https://t.co/FYqSgvptJB";0
66;66;"Tes pengetahuan aktor / aktris Indonesia! Kali ini edisi castnya weTV original series Dikta &amp; Hukum!… https://t.co/UsuoAr2aRE";0
67;67;Mau pilih yang lebih ribet/lebih berat, tapi yang dihasilkan bikin lebih bahagia, why not? Mau pilih yang lebih sim… https://t.co/DkHyY3P91V;0
68;68;Semua pilihan tuh pasti ada positif dan negatifnya. Tinggal pilih mana yang paling cocok dan yang bisa bikin diri s… https://t.co/Qz2I9MYUTq;0
69;69;JANGAN LUPA BAHAGIA WOY;0
70;70;Meskipun gak galau, denger lagu galau tuh enak bgt;0
71;71;SEMANGAT WOE;0
72;72;"telfon &gt; chat";0
73;73;Akhirnya tayangg! TES PENGETAHUAN BOYBAND INDONESIA (UN1TY)! HEBOH DAN RUSUH BANGET WKWKWKWK😂! Cuss nonton!… https://t.co/9goFhjdj1Q;0
74;74;capek gak si liat berita-berita akhir-akhir ini;0
75;75;"Jenis-jenis ekspresi habis nonton episode pertama Dikta &amp; Hukum😂 Asli campur aduk banget WKWKKW! Yang penasaran, me… https://t.co/nUkkty8qPA";0
76;76;@tokopedia itu baju kuning kok mirip ak;0
77;77;"Gimana hari ini guys!?

Btw kalo lagi butuh hiburan, coba nonton series We TV Original Dikta &amp; Hukum! Kemaren aku u… https://t.co/Y26UTeSTTS";0
78;78;"Yang penting diblock, yang gak penting malah dibiarin

:)";0
79;79;Berusahalah untuk selalu berbuat baik kepada orang lain. Karena kita tidak tahu kesulitan apa yang sedang mereka alami.;0
80;80;Semangat!!;0
81;81;RT @sksksksksksk012: udah lama ga beli @tokomenantea rasanya KAJZIWJANBSKABSKWNAUJWBSIWBSKABAHENSU ENAK BANGET WOIIIIIII😭😭😭 https://t.co/sd…;0
82;82;BATTLE QUIZ PENGETAHUAN: JEROME VS RAJA QUIZ INDONESIA (HELMY YAHYA)! Selamat menonton! https://t.co/cqWpk4wsgb https://t.co/fj6QwvDcgW;0
83;83;Hari ini seruuu, ngobrol2 bareng naura~ https://t.co/H7jr33k2xk;0
84;84;"RT @geraldhiras: NIBATAK MANTAPPU

Tadi malem tidur mimpi kenalan, taunya ketemu beneran pas siang BANG. https://t.co/BVUqMSCmsr";0
85;85;@nessiejudge kerja di mana kak?;0
86;86;ngeliat story orang2 kenapa pada banyak banget yang bakal nikah ya wwkwwkk;0
87;87;"RT @NASAWebb: 👀 Sneak a peek at the deepest &amp; sharpest infrared image of the early universe ever taken — all in a day’s work for the Webb t…";0
88;88;@ArnoldPoernomo wibu;0
89;89;"RT @BadmintonTalk: Final with bestie!!

Congratulations to the Daddies and Fajar/Rian!

#BadmintalkPhoto #PMM2022 #MalaysiaMasters2022 http…";0
90;90;Hari ini kembali disadarkan bahwa hidup-mati, bener-bener cuma Tuhan yang tahu. Kita harus menggunakan waktu dan ke… https://t.co/kr2dOsiPsw;0
91;91;君，頑張ってください!;0
92;92;RT @nikone_25: 安倍元総理がお亡くなりになりました。言葉がありません。犯人が憎い。この怒りをどこにぶつけていいのか分かりません。今はただ、安倍さんに感謝するだけです。強い総理大臣であり、私達を安心させてくれる優しいリーダーでした。お疲れ様でした。心よりご冥福をお祈…;0
93;93;Hari ini collab podcast dan konten youtube bareng UN1TY! Seruuu bgt mantappu jiwaaa https://t.co/eijj2HpmzV;0
94;94;WKWKKWKWWWK https://t.co/EjagHyHtzR;0
95;95;Salah satu episode terseru dari Wasedaboys Indonesia Trip! Coba nawar harga di pasar😂 WKWKWKWK… https://t.co/OKTbYHe9oJ;0
96;96;Gak pinter matematika/suatu pelajaran, bukan berarti gak pinter. Bidang dan aspek kepinteran tiap orang beda-beda.;0
97;97;RT @aku_orang_apa: akhirnya aku ketemu lagi sama bang @JeromePolin setelah 1 setengah tahun👍🏼 https://t.co/xLgxG4MYiC;0
98;98;buat masnya, sini aku kasih soal matematika mau ga wkwkwkkw https://t.co/kw4Fq4kBlJ;0
