,Tweets,Label,step01,tokens,final_tokens,ProcessedText
0,"Ketua DPP PHRI DKI Jakarta Sutrisno Iwantono bilang, mereka bukan tak setuju dengan substansi melarang perzinahan.â€¦ https://t.co/T7Z9Gv9efg",1,ketua dpp phri dki jakarta sutrisno iwantono bilang mereka bukan tak setuju dengan substansi melarang perzinahan,"['ketua', 'dpp', 'phri', 'dki', 'jakarta', 'sutrisno', 'iwantono', 'bilang', 'mereka', 'bukan', 'tak', 'setuju', 'dengan', 'substansi', 'melarang', 'perzinahan']","['ketua', 'dpp', 'phri', 'dki', 'jakarta', 'sutrisno', 'iwantono', 'bilang', 'mereka', 'bukan', 'tak', 'setuju', 'dengan', 'substansi', 'melarang', 'perzinahan']",ketua dpp phri dki jakarta sutrisno iwantono bilang mereka bukan tak setuju dengan substansi melarang perzinahan
1,"Soalnya, RKUHP yang baru berisi pasal perzinahan yang dianggap bisa merugikan industri pariwisata dan perhotelan.

| Narasi Daily",1,soalnya rkuhp yang baru berisi pasal perzinahan yang dianggap bisa merugikan industri pariwisata dan perhotelan narasi daily,"['soalnya', 'rkuhp', 'yang', 'baru', 'berisi', 'pasal', 'perzinahan', 'yang', 'dianggap', 'bisa', 'merugikan', 'industri', 'pariwisata', 'dan', 'perhotelan', 'narasi', 'daily']","['soalnya', 'rkuhp', 'yang', 'baru', 'berisi', 'pasal', 'perzinahan', 'yang', 'dianggap', 'bisa', 'merugikan', 'industri', 'pariwisata', 'dan', 'perhotelan', 'narasi', 'daily']",soalnya rkuhp yang baru berisi pasal perzinahan yang dianggap bisa merugikan industri pariwisata dan perhotelan narasi daily
2,"#Semuabisakena. Inget, kan, sama kampanye penolakan Rancangan Undang-Undang Kitab Hukum Pidana (RKUHP) ini. Kali inâ€¦ https://t.co/tfZAamEDaR",1,inget kan sama kampanye penolakan rancangan undang undang kitab hukum pidana rkuhp ini kali in,"['inget', 'kan', 'sama', 'kampanye', 'penolakan', 'rancangan', 'undang', 'undang', 'kitab', 'hukum', 'pidana', 'rkuhp', 'ini', 'kali', 'in']","['inget', 'kan', 'sama', 'kampanye', 'penolakan', 'rancangan', 'undang', 'undang', 'kitab', 'hukum', 'pidana', 'rkuhp', 'ini', 'kali', 'in']",inget kan sama kampanye penolakan rancangan undang undang kitab hukum pidana rkuhp ini kali in
3,"Gugatannya udah kalah. Selanjutnya, Pak Jokowi dan para menterinya harus gimana? Cek di video ya~ 

| Narasi Daily https://t.co/hGZI2HuXgI",1,gugatannya udah kalah selanjutnya pak jokowi dan para menterinya harus gimana cek di video ya narasi daily,"['gugatannya', 'udah', 'kalah', 'selanjutnya', 'pak', 'jokowi', 'dan', 'para', 'menterinya', 'harus', 'gimana', 'cek', 'di', 'video', 'ya', 'narasi', 'daily']","['gugatannya', 'udah', 'kalah', 'selanjutnya', 'pak', 'jokowi', 'dan', 'para', 'menterinya', 'harus', 'gimana', 'cek', 'di', 'video', 'ya', 'narasi', 'daily']",gugatannya udah kalah selanjutnya pak jokowi dan para menterinya harus gimana cek di video ya narasi daily
4,"Semoga aja amunisi Kominfo bisa efektif buat ngeberantas hoaks di medsos deh ya~ 

| Narasi Daily https://t.co/35JZVbWkHA",0,semoga aja amunisi kominfo bisa efektif buat ngeberantas hoaks di medsos deh ya narasi daily,"['semoga', 'aja', 'amunisi', 'kominfo', 'bisa', 'efektif', 'buat', 'ngeberantas', 'hoaks', 'di', 'medsos', 'deh', 'ya', 'narasi', 'daily']","['semoga', 'aja', 'amunisi', 'kominfo', 'bisa', 'efektif', 'buat', 'ngeberantas', 'hoaks', 'di', 'medsos', 'deh', 'ya', 'narasi', 'daily']",semoga aja amunisi kominfo bisa efektif buat ngeberantas hoaks di medsos deh ya narasi daily
5,"Menurut LBH Bogor, Irwansyah, pemerintah Kota Bogor bisa digugat karena dianggap lalai mengelola fasilitas umum, daâ€¦ https://t.co/grZpu5hfrI",1,menurut lbh bogor irwansyah pemerintah kota bogor bisa digugat karena dianggap lalai mengelola fasilitas umum da,"['menurut', 'lbh', 'bogor', 'irwansyah', 'pemerintah', 'kota', 'bogor', 'bisa', 'digugat', 'karena', 'dianggap', 'lalai', 'mengelola', 'fasilitas', 'umum', 'da']","['menurut', 'lbh', 'bogor', 'irwansyah', 'pemerintah', 'kota', 'bogor', 'bisa', 'digugat', 'karena', 'dianggap', 'lalai', 'mengelola', 'fasilitas', 'umum', 'da']",menurut lbh bogor irwansyah pemerintah kota bogor bisa digugat karena dianggap lalai mengelola fasilitas umum da
6,"â€œHarapan saya untuk Arema, yang meninggal dan jadi korban itu suportermu. Mereka yang mendukungmu secara materiil dâ€¦ https://t.co/Vy9ZPMGEvi",0,harapan saya untuk arema yang meninggal dan jadi korban itu suportermu mereka yang mendukungmu secara materiil,"['harapan', 'saya', 'untuk', 'arema', 'yang', 'meninggal', 'dan', 'jadi', 'korban', 'itu', 'suportermu', 'mereka', 'yang', 'mendukungmu', 'secara', 'materiil']","['harapan', 'saya', 'untuk', 'arema', 'yang', 'meninggal', 'dan', 'jadi', 'korban', 'itu', 'suportermu', 'mereka', 'yang', 'mendukungmu', 'secara', 'materiil']",harapan saya untuk arema yang meninggal dan jadi korban itu suportermu mereka yang mendukungmu secara materiil
7,"Kayaknya di luaran sana gampang banget ya buat ngakuin kesalahan terus mundur dari jabatan. 

Beda gitu loh~ 

| Naâ€¦ https://t.co/XgnIT14dQK",1,kayaknya di luaran sana gampang banget ya buat ngakuin kesalahan terus mundur dari jabatan beda gitu loh na,"['kayaknya', 'di', 'luaran', 'sana', 'gampang', 'banget', 'ya', 'buat', 'ngakuin', 'kesalahan', 'terus', 'mundur', 'dari', 'jabatan', 'beda', 'gitu', 'loh', 'na']","['kayaknya', 'di', 'luaran', 'sana', 'gampang', 'banget', 'ya', 'buat', 'ngakuin', 'kesalahan', 'terus', 'mundur', 'dari', 'jabatan', 'beda', 'gitu', 'loh', 'na']",kayaknya di luaran sana gampang banget ya buat ngakuin kesalahan terus mundur dari jabatan beda gitu loh na
8,Izin dulu buat pake lagunya ke .Feast bisa kali ya. Apalagi buat keperluan politik. Ini kaitannya sama hak moral daâ€¦ https://t.co/Sknj6CF0Pe,1,izin dulu buat pake lagunya ke feast bisa kali ya apalagi buat keperluan politik ini kaitannya sama hak moral da,"['izin', 'dulu', 'buat', 'pake', 'lagunya', 'ke', 'feast', 'bisa', 'kali', 'ya', 'apalagi', 'buat', 'keperluan', 'politik', 'ini', 'kaitannya', 'sama', 'hak', 'moral', 'da']","['izin', 'dulu', 'buat', 'pake', 'lagunya', 'ke', 'feast', 'bisa', 'kali', 'ya', 'apalagi', 'buat', 'keperluan', 'politik', 'ini', 'kaitannya', 'sama', 'hak', 'moral', 'da']",izin dulu buat pake lagunya ke feast bisa kali ya apalagi buat keperluan politik ini kaitannya sama hak moral da
9,Apa sih etilen glikol dan dietilen glikol yang menyebabkan ratusan kasus gagal ginjal akut pada anak di Indonesia?â€¦ https://t.co/VXamTS1gkk,0,apa sih etilen glikol dan dietilen glikol yang menyebabkan ratusan kasus gagal ginjal akut pada anak di indonesia,"['apa', 'sih', 'etilen', 'glikol', 'dan', 'dietilen', 'glikol', 'yang', 'menyebabkan', 'ratusan', 'kasus', 'gagal', 'ginjal', 'akut', 'pada', 'anak', 'di', 'indonesia']","['apa', 'sih', 'etilen', 'glikol', 'dan', 'dietilen', 'glikol', 'yang', 'menyebabkan', 'ratusan', 'kasus', 'gagal', 'ginjal', 'akut', 'pada', 'anak', 'di', 'indonesia']",apa sih etilen glikol dan dietilen glikol yang menyebabkan ratusan kasus gagal ginjal akut pada anak di indonesia
10,"Tidak cuma keluarga, Nanda, sahabat Revan pun merasa teramat kehilangan. Impian mereka berdua untuk bersama-sama tuâ€¦ https://t.co/CJEsDGcHHV",0,tidak cuma keluarga nanda sahabat revan pun merasa teramat kehilangan impian mereka berdua untuk bersama sama tu,"['tidak', 'cuma', 'keluarga', 'nanda', 'sahabat', 'revan', 'pun', 'merasa', 'teramat', 'kehilangan', 'impian', 'mereka', 'berdua', 'untuk', 'bersama', 'sama', 'tu']","['tidak', 'cuma', 'keluarga', 'nanda', 'sahabat', 'revan', 'pun', 'merasa', 'teramat', 'kehilangan', 'impian', 'mereka', 'berdua', 'untuk', 'bersama', 'sama', 'tu']",tidak cuma keluarga nanda sahabat revan pun merasa teramat kehilangan impian mereka berdua untuk bersama sama tu
11,"Dua hari sebelum peristiwa, Revan sudah berpamitan pada ayahnya untuk menonton langsung di Stadion Kanjuruhan.

Namâ€¦ https://t.co/ypcsUcnX61",0,dua hari sebelum peristiwa revan sudah berpamitan pada ayahnya untuk menonton langsung di stadion kanjuruhan nam,"['dua', 'hari', 'sebelum', 'peristiwa', 'revan', 'sudah', 'berpamitan', 'pada', 'ayahnya', 'untuk', 'menonton', 'langsung', 'di', 'stadion', 'kanjuruhan', 'nam']","['dua', 'hari', 'sebelum', 'peristiwa', 'revan', 'sudah', 'berpamitan', 'pada', 'ayahnya', 'untuk', 'menonton', 'langsung', 'di', 'stadion', 'kanjuruhan', 'nam']",dua hari sebelum peristiwa revan sudah berpamitan pada ayahnya untuk menonton langsung di stadion kanjuruhan nam
12,"RT @narasitv: Duka Kanjuruhan, Duka Mereka yang Kehilangan
https://t.co/T8vNf1K6Cr

Peristiwa Kanjuruhan meninggalkan duka bagi banyak oranâ€¦",0,narasitv duka kanjuruhan duka mereka yang kehilangan peristiwa kanjuruhan meninggalkan duka bagi banyak oran,"['narasitv', 'duka', 'kanjuruhan', 'duka', 'mereka', 'yang', 'kehilangan', 'peristiwa', 'kanjuruhan', 'meninggalkan', 'duka', 'bagi', 'banyak', 'oran']","['narasitv', 'duka', 'kanjuruhan', 'duka', 'mereka', 'yang', 'kehilangan', 'peristiwa', 'kanjuruhan', 'meninggalkan', 'duka', 'bagi', 'banyak', 'oran']",narasitv duka kanjuruhan duka mereka yang kehilangan peristiwa kanjuruhan meninggalkan duka bagi banyak oran
13,"Sering banget denger resesi dari para pejabat. Sebenarnya berapa kali, sih, ekonomi dunia pernah resesi? Cek datanyâ€¦ https://t.co/BOkPIq16vv",1,sering banget denger resesi dari para pejabat sebenarnya berapa kali sih ekonomi dunia pernah resesi cek datany,"['sering', 'banget', 'denger', 'resesi', 'dari', 'para', 'pejabat', 'sebenarnya', 'berapa', 'kali', 'sih', 'ekonomi', 'dunia', 'pernah', 'resesi', 'cek', 'datany']","['sering', 'banget', 'denger', 'resesi', 'dari', 'para', 'pejabat', 'sebenarnya', 'berapa', 'kali', 'sih', 'ekonomi', 'dunia', 'pernah', 'resesi', 'cek', 'datany']",sering banget denger resesi dari para pejabat sebenarnya berapa kali sih ekonomi dunia pernah resesi cek datany
14,"Menkes menyebut penyebab gagal ginjal akut masih belum dapat diidentifikasi. Namun, setelah sempat dikaitkan denganâ€¦ https://t.co/7TzluKmVYt",0,menkes menyebut penyebab gagal ginjal akut masih belum dapat diidentifikasi namun setelah sempat dikaitkan dengan,"['menkes', 'menyebut', 'penyebab', 'gagal', 'ginjal', 'akut', 'masih', 'belum', 'dapat', 'diidentifikasi', 'namun', 'setelah', 'sempat', 'dikaitkan', 'dengan']","['menkes', 'menyebut', 'penyebab', 'gagal', 'ginjal', 'akut', 'masih', 'belum', 'dapat', 'diidentifikasi', 'namun', 'setelah', 'sempat', 'dikaitkan', 'dengan']",menkes menyebut penyebab gagal ginjal akut masih belum dapat diidentifikasi namun setelah sempat dikaitkan dengan
15,"Jumlah ini meningkat dari data yang diumumkan sebelumnya, yakin terdapat 220 kasus dengan jumlah kematian mencapai 99 orang.",0,jumlah ini meningkat dari data yang diumumkan sebelumnya yakin terdapat   kasus dengan jumlah kematian mencapai   orang,"['jumlah', 'ini', 'meningkat', 'dari', 'data', 'yang', 'diumumkan', 'sebelumnya', 'yakin', 'terdapat', 'kasus', 'dengan', 'jumlah', 'kematian', 'mencapai', 'orang']","['jumlah', 'ini', 'meningkat', 'dari', 'data', 'yang', 'diumumkan', 'sebelumnya', 'yakin', 'terdapat', 'kasus', 'dengan', 'jumlah', 'kematian', 'mencapai', 'orang']",jumlah ini meningkat dari data yang diumumkan sebelumnya yakin terdapat kasus dengan jumlah kematian mencapai orang
16,Menteri Kesehatan Budi Gunadi Sadikin melaporkan pada Jumat (21/10/2022) bahwa sudah terdapat 241 kasus gangguan giâ€¦ https://t.co/trWnBt02AJ,0,menteri kesehatan budi gunadi sadikin melaporkan pada jumat   bahwa sudah terdapat   kasus gangguan gi,"['menteri', 'kesehatan', 'budi', 'gunadi', 'sadikin', 'melaporkan', 'pada', 'jumat', 'bahwa', 'sudah', 'terdapat', 'kasus', 'gangguan', 'gi']","['menteri', 'kesehatan', 'budi', 'gunadi', 'sadikin', 'melaporkan', 'pada', 'jumat', 'bahwa', 'sudah', 'terdapat', 'kasus', 'gangguan', 'gi']",menteri kesehatan budi gunadi sadikin melaporkan pada jumat bahwa sudah terdapat kasus gangguan gi
17,"ASN milenial udah siap pindah ke IKN belum? Fasilitasnya bakal jos loh kata pemerintah~ 

| Narasi Daily https://t.co/psiYPphy93",0,asn milenial udah siap pindah ke ikn belum fasilitasnya bakal jos loh kata pemerintah narasi daily,"['asn', 'milenial', 'udah', 'siap', 'pindah', 'ke', 'ikn', 'belum', 'fasilitasnya', 'bakal', 'jos', 'loh', 'kata', 'pemerintah', 'narasi', 'daily']","['asn', 'milenial', 'udah', 'siap', 'pindah', 'ke', 'ikn', 'belum', 'fasilitasnya', 'bakal', 'jos', 'loh', 'kata', 'pemerintah', 'narasi', 'daily']",asn milenial udah siap pindah ke ikn belum fasilitasnya bakal jos loh kata pemerintah narasi daily
18,"Gelar aksi solidaritas untuk peristiwa Kanjuruhan, sejumlah suporter ditangkap polisi. Alasannya, para suporter iniâ€¦ https://t.co/eLLNlKrXwd",0,gelar aksi solidaritas untuk peristiwa kanjuruhan sejumlah suporter ditangkap polisi alasannya para suporter ini,"['gelar', 'aksi', 'solidaritas', 'untuk', 'peristiwa', 'kanjuruhan', 'sejumlah', 'suporter', 'ditangkap', 'polisi', 'alasannya', 'para', 'suporter', 'ini']","['gelar', 'aksi', 'solidaritas', 'untuk', 'peristiwa', 'kanjuruhan', 'sejumlah', 'suporter', 'ditangkap', 'polisi', 'alasannya', 'para', 'suporter', 'ini']",gelar aksi solidaritas untuk peristiwa kanjuruhan sejumlah suporter ditangkap polisi alasannya para suporter ini
19,"Kedutaan besar Iran di Seoul menyangkal kalo Rekabi hilang karena tanding tanpa hijab. Dan informasi terakhir, Rekaâ€¦ https://t.co/RgnrgrdQup",1,kedutaan besar iran di seoul menyangkal kalo rekabi hilang karena tanding tanpa hijab dan informasi terakhir reka,"['kedutaan', 'besar', 'iran', 'di', 'seoul', 'menyangkal', 'kalo', 'rekabi', 'hilang', 'karena', 'tanding', 'tanpa', 'hijab', 'dan', 'informasi', 'terakhir', 'reka']","['kedutaan', 'besar', 'iran', 'di', 'seoul', 'menyangkal', 'kalo', 'rekabi', 'hilang', 'karena', 'tanding', 'tanpa', 'hijab', 'dan', 'informasi', 'terakhir', 'reka']",kedutaan besar iran di seoul menyangkal kalo rekabi hilang karena tanding tanpa hijab dan informasi terakhir reka
20,"Ini latihan beneran kan ya? 

Udahh, jangan panas-panasan, yang adem-adem aja, kasihan masyarakat dunia ikut kena iâ€¦ https://t.co/OjMNzW4Lr2",0,ini latihan beneran kan ya udahh jangan panas panasan yang adem adem aja kasihan masyarakat dunia ikut kena,"['ini', 'latihan', 'beneran', 'kan', 'ya', 'udahh', 'jangan', 'panas', 'panasan', 'yang', 'adem', 'adem', 'aja', 'kasihan', 'masyarakat', 'dunia', 'ikut', 'kena']","['ini', 'latihan', 'beneran', 'kan', 'ya', 'udahh', 'jangan', 'panas', 'panasan', 'yang', 'adem', 'adem', 'aja', 'kasihan', 'masyarakat', 'dunia', 'ikut', 'kena']",ini latihan beneran kan ya udahh jangan panas panasan yang adem adem aja kasihan masyarakat dunia ikut kena
21,"Korban meninggal akibat peristiwa Kanjurhan bertambah lagi.

Selamat jalan Reivano. Istirahat yang tenangğŸ˜¢ğŸ¥€
https://t.co/plr7dd2TwC",0,korban meninggal akibat peristiwa kanjurhan bertambah lagi selamat jalan reivano istirahat yang tenang,"['korban', 'meninggal', 'akibat', 'peristiwa', 'kanjurhan', 'bertambah', 'lagi', 'selamat', 'jalan', 'reivano', 'istirahat', 'yang', 'tenang']","['korban', 'meninggal', 'akibat', 'peristiwa', 'kanjurhan', 'bertambah', 'lagi', 'selamat', 'jalan', 'reivano', 'istirahat', 'yang', 'tenang']",korban meninggal akibat peristiwa kanjurhan bertambah lagi selamat jalan reivano istirahat yang tenang
22,"Ada yang ketar-ketir nih pasokan minyaknya dikurangi sama Arab Saudi heu~ ğŸ‘€

Emang seberapa bergantung sih AS samaâ€¦ https://t.co/kvaJxKKYh2",1,ada yang ketar ketir nih pasokan minyaknya dikurangi sama arab saudi heu emang seberapa bergantung sih as sama,"['ada', 'yang', 'ketar', 'ketir', 'nih', 'pasokan', 'minyaknya', 'dikurangi', 'sama', 'arab', 'saudi', 'heu', 'emang', 'seberapa', 'bergantung', 'sih', 'as', 'sama']","['ada', 'yang', 'ketar', 'ketir', 'nih', 'pasokan', 'minyaknya', 'dikurangi', 'sama', 'arab', 'saudi', 'heu', 'emang', 'seberapa', 'bergantung', 'sih', 'as', 'sama']",ada yang ketar ketir nih pasokan minyaknya dikurangi sama arab saudi heu emang seberapa bergantung sih as sama
23,"Semangat buat BTS yang bakal ikut wajib militer. Buat para ARMY, jangan sedih, mereka bakal kumpul tiga tahun lagiâ€¦ https://t.co/3K2wl31Dnl",0,semangat buat bts yang bakal ikut wajib militer buat para army jangan sedih mereka bakal kumpul tiga tahun lagi,"['semangat', 'buat', 'bts', 'yang', 'bakal', 'ikut', 'wajib', 'militer', 'buat', 'para', 'army', 'jangan', 'sedih', 'mereka', 'bakal', 'kumpul', 'tiga', 'tahun', 'lagi']","['semangat', 'buat', 'bts', 'yang', 'bakal', 'ikut', 'wajib', 'militer', 'buat', 'para', 'army', 'jangan', 'sedih', 'mereka', 'bakal', 'kumpul', 'tiga', 'tahun', 'lagi']",semangat buat bts yang bakal ikut wajib militer buat para army jangan sedih mereka bakal kumpul tiga tahun lagi
24,"Serem banget, abis ngebunuh malah senyum-senyum gituğŸ˜¢ğŸ˜­

Informasi lainnya, tonton #NarasiPagi diâ€¦ https://t.co/jgmIqBOFKB",0,serem banget abis ngebunuh malah senyum senyum gitu informasi lainnya tonton di,"['serem', 'banget', 'abis', 'ngebunuh', 'malah', 'senyum', 'senyum', 'gitu', 'informasi', 'lainnya', 'tonton', 'di']","['serem', 'banget', 'abis', 'ngebunuh', 'malah', 'senyum', 'senyum', 'gitu', 'informasi', 'lainnya', 'tonton', 'di']",serem banget abis ngebunuh malah senyum senyum gitu informasi lainnya tonton di
25,"Apa lagi, nih? Jangan ada intimidasi-intimidasi deh. Bakal susah terungkap dengan jelas dan transparan kalo sampe gâ€¦ https://t.co/y1usVwDN4k",1,apa lagi nih jangan ada intimidasi intimidasi deh bakal susah terungkap dengan jelas dan transparan kalo sampe,"['apa', 'lagi', 'nih', 'jangan', 'ada', 'intimidasi', 'intimidasi', 'deh', 'bakal', 'susah', 'terungkap', 'dengan', 'jelas', 'dan', 'transparan', 'kalo', 'sampe']","['apa', 'lagi', 'nih', 'jangan', 'ada', 'intimidasi', 'intimidasi', 'deh', 'bakal', 'susah', 'terungkap', 'dengan', 'jelas', 'dan', 'transparan', 'kalo', 'sampe']",apa lagi nih jangan ada intimidasi intimidasi deh bakal susah terungkap dengan jelas dan transparan kalo sampe
26,"Coba dicek lagi deh siapa tau masuk dalam daftar obat sirup yang ditarik sama BPOM.

| Narasi Daily https://t.co/5MnSvngUvO",0,coba dicek lagi deh siapa tau masuk dalam daftar obat sirup yang ditarik sama bpom narasi daily,"['coba', 'dicek', 'lagi', 'deh', 'siapa', 'tau', 'masuk', 'dalam', 'daftar', 'obat', 'sirup', 'yang', 'ditarik', 'sama', 'bpom', 'narasi', 'daily']","['coba', 'dicek', 'lagi', 'deh', 'siapa', 'tau', 'masuk', 'dalam', 'daftar', 'obat', 'sirup', 'yang', 'ditarik', 'sama', 'bpom', 'narasi', 'daily']",coba dicek lagi deh siapa tau masuk dalam daftar obat sirup yang ditarik sama bpom narasi daily
27,"Pernah beli, dikasih sama dokter, atau nyimpen obat sirup buat anak-anak di rumah? 

| Narasi Daily https://t.co/HP04jQUZcs",0,pernah beli dikasih sama dokter atau nyimpen obat sirup buat anak anak di rumah narasi daily,"['pernah', 'beli', 'dikasih', 'sama', 'dokter', 'atau', 'nyimpen', 'obat', 'sirup', 'buat', 'anak', 'anak', 'di', 'rumah', 'narasi', 'daily']","['pernah', 'beli', 'dikasih', 'sama', 'dokter', 'atau', 'nyimpen', 'obat', 'sirup', 'buat', 'anak', 'anak', 'di', 'rumah', 'narasi', 'daily']",pernah beli dikasih sama dokter atau nyimpen obat sirup buat anak anak di rumah narasi daily
28,"Kata PSSI dan FIFA, kejadian dalam sepak bola dunia akan selalu ada, tapi sepak bola harus terus berjalanğŸ˜¢

https://t.co/rEbG0QtTub",0,kata pssi dan fifa kejadian dalam sepak bola dunia akan selalu ada tapi sepak bola harus terus berjalan,"['kata', 'pssi', 'dan', 'fifa', 'kejadian', 'dalam', 'sepak', 'bola', 'dunia', 'akan', 'selalu', 'ada', 'tapi', 'sepak', 'bola', 'harus', 'terus', 'berjalan']","['kata', 'pssi', 'dan', 'fifa', 'kejadian', 'dalam', 'sepak', 'bola', 'dunia', 'akan', 'selalu', 'ada', 'tapi', 'sepak', 'bola', 'harus', 'terus', 'berjalan']",kata pssi dan fifa kejadian dalam sepak bola dunia akan selalu ada tapi sepak bola harus terus berjalan
29,"TjakeeeppsğŸ‘ğŸ»ğŸ‘ğŸ» Ngerasa gagal, minta maaf, lalu mundur, enggak pake lempar-lempar tanggung jawab, apalagi pake nyalaâ€¦ https://t.co/lblnUVEbT0",0,tjakeeepps ngerasa gagal minta maaf lalu mundur enggak pake lempar lempar tanggung jawab apalagi pake nyala,"['tjakeeepps', 'ngerasa', 'gagal', 'minta', 'maaf', 'lalu', 'mundur', 'enggak', 'pake', 'lempar', 'lempar', 'tanggung', 'jawab', 'apalagi', 'pake', 'nyala']","['tjakeeepps', 'ngerasa', 'gagal', 'minta', 'maaf', 'lalu', 'mundur', 'enggak', 'pake', 'lempar', 'lempar', 'tanggung', 'jawab', 'apalagi', 'pake', 'nyala']",tjakeeepps ngerasa gagal minta maaf lalu mundur enggak pake lempar lempar tanggung jawab apalagi pake nyala
30,"Setelah ditunda karena ((fun football)), Iwan Bule akhirnya diperiksa nih~

Apa aja materinya? Coba deh simak di arâ€¦ https://t.co/u18c1kuP2D",0,setelah ditunda karena fun football iwan bule akhirnya diperiksa nih apa aja materinya coba deh simak di ar,"['setelah', 'ditunda', 'karena', 'fun', 'football', 'iwan', 'bule', 'akhirnya', 'diperiksa', 'nih', 'apa', 'aja', 'materinya', 'coba', 'deh', 'simak', 'di', 'ar']","['setelah', 'ditunda', 'karena', 'fun', 'football', 'iwan', 'bule', 'akhirnya', 'diperiksa', 'nih', 'apa', 'aja', 'materinya', 'coba', 'deh', 'simak', 'di', 'ar']",setelah ditunda karena fun football iwan bule akhirnya diperiksa nih apa aja materinya coba deh simak di ar
31,"Masa harus ditunda-tunda lagi seh heu~

| Narasi Daily https://t.co/OQMLHj8yB9",0,masa harus ditunda tunda lagi seh heu narasi daily,"['masa', 'harus', 'ditunda', 'tunda', 'lagi', 'seh', 'heu', 'narasi', 'daily']","['masa', 'harus', 'ditunda', 'tunda', 'lagi', 'seh', 'heu', 'narasi', 'daily']",masa harus ditunda tunda lagi seh heu narasi daily
